19424.5,0.271006987,1769
19650.4,0.271160211,1770
19650.4,0.271313435,1771
19650.4,0.271466658,1772
19650.4,0.271619882,1773
19650.4,0.271773106,1774
19650.4,0.27192633,1775
19650.4,0.272079554,1776
19650.4,0.272232778,1777
19650.4,0.272386001,1778
19650.4,0.272539225,1779
19650.4,0.272692449,1780
19650.4,0.272845673,1781
19650.4,0.272998897,1782
19876.3,0.273152121,1783
19876.3,0.273305344,1784
19876.3,0.273458568,1785
19876.3,0.273611792,1786
19876.3,0.273765016,1787
19876.3,0.27391824,1788
19876.3,0.274071464,1789
19876.3,0.274224687,1790
19876.3,0.274377911,1791
19876.3,0.274531135,1792
19876.3,0.274684359,1793
19876.3,0.274837583,1794
19876.3,0.274990807,1795
19876.3,0.27514403,1796
19876.3,0.275297254,1797
20102.1,0.275450478,1798
20102.1,0.275603702,1799
20102.1,0.275756926,1800
20102.1,0.27591015,1801
20102.1,0.276063373,1802
20102.1,0.276216597,1803
20102.1,0.276369821,1804
20102.1,0.276523045,1805
20102.1,0.276676269,1806
20102.1,0.276829493,1807
20102.1,0.276982716,1808
20328,0.27713594,1809
20328,0.277289164,1810
20328,0.277442388,1811
20328,0.277595612,1812
20328,0.277748835,1813
20328,0.277902059,1814
20328,0.278055283,1815
20328,0.278208507,1816
20328,0.278361731,1817
20328,0.278514955,1818
20328,0.278668178,1819
20328,0.278821402,1820
20328,0.278974626,1821
20328,0.27912785,1822
20328,0.279281074,1823
20553.9,0.279434298,1824
20553.9,0.279587521,1825
20553.9,0.279740745,1826
20553.9,0.279893969,1827
20553.9,0.280047193,1828
20553.9,0.280200417,1829
20553.9,0.280353641,1830
20553.9,0.280506864,1831
20553.9,0.280660088,1832
20553.9,0.280813312,1833
20553.9,0.280966536,1834
20553.9,0.28111976,1835
20553.9,0.281272984,1836
20553.9,0.281426207,1837
20553.9,0.281579431,1838
20553.9,0.281732655,1839
20779.7,0.281885879,1840
20779.7,0.282039103,1841
20779.7,0.282192327,1842
20779.7,0.28234555,1843
20779.7,0.282498774,1844
20779.7,0.282651998,1845
20779.7,0.282805222,1846
20779.7,0.282958446,1847
20779.7,0.28311167,1848
21005.6,0.283264893,1849
21005.6,0.283418117,1850
21005.6,0.283571341,1851
21005.6,0.283724565,1852
21005.6,0.283877789,1853
21005.6,0.284031013,1854
21005.6,0.284184236,1855
21005.6,0.28433746,1856
21005.6,0.284490684,1857
21005.6,0.284643908,1858
21005.6,0.284797132,1859
21005.6,0.284950355,1860
21005.6,0.285103579,1861
21231.5,0.285256803,1862
21231.5,0.285410027,1863
21231.5,0.285563251,1864
21231.5,0.285716475,1865
21231.5,0.285869698,1866
21231.5,0.286022922,1867
21231.5,0.286176146,1868
21231.5,0.28632937,1869
21231.5,0.286482594,1870
21457.3,0.286635818,1871
21457.3,0.286789041,1872
21457.3,0.286942265,1873
21457.3,0.287095489,1874
21457.3,0.287248713,1875
21457.3,0.287401937,1876
21457.3,0.287555161,1877
21457.3,0.287708384,1878
21457.3,0.287861608,1879
21457.3,0.288014832,1880
21457.3,0.288168056,1881
21457.3,0.28832128,1882
21683.2,0.288474504,1883
21683.2,0.288627727,1884
21683.2,0.288780951,1885
21683.2,0.288934175,1886
21683.2,0.289087399,1887
21683.2,0.289240623,1888
21683.2,0.289393847,1889
21683.2,0.28954707,1890
21683.2,0.289700294,1891
21683.2,0.289853518,1892
21683.2,0.290006742,1893
21683.2,0.290159966,1894
21683.2,0.29031319,1895
21683.2,0.290466413,1896
21909.1,0.290619637,1897
21909.1,0.290772861,1898
21909.1,0.290926085,1899
21909.1,0.291079309,1900
21909.1,0.291232532,1901
21909.1,0.291385756,1902
21909.1,0.29153898,1903
21909.1,0.291692204,1904
21909.1,0.291845428,1905
21909.1,0.291998652,1906
21909.1,0.292151875,1907
22134.9,0.292305099,1908
22134.9,0.292458323,1909
22134.9,0.292611547,1910
22134.9,0.292764771,1911
22134.9,0.292917995,1912
22134.9,0.293071218,1913
22134.9,0.293224442,1914
22134.9,0.293377666,1915
22134.9,0.29353089,1916
22360.8,0.293684114,1917
22360.8,0.293837338,1918
22360.8,0.293990561,1919
22360.8,0.294143785,1920
22360.8,0.294297009,1921
22360.8,0.294450233,1922
22360.8,0.294603457,1923
22360.8,0.294756681,1924
22360.8,0.294909904,1925
22360.8,0.295063128,1926
22360.8,0.295216352,1927
22360.8,0.295369576,1928
22586.7,0.2955228,1929
22586.7,0.295676024,1930
22586.7,0.295829247,1931
22586.7,0.295982471,1932
22586.7,0.296135695,1933
22586.7,0.296288919,1934
22586.7,0.296442143,1935
22586.7,0.296595367,1936
22586.7,0.29674859,1937
22586.7,0.296901814,1938
22812.5,0.297055038,1939
22812.5,0.297208262,1940
